,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
4233,01510PLYMR179WO,POLYMER CONCENTRATES INC,325211,issues,issues,issues,issues,issues,CHROMA COLOR CORP,110001943498.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4245,53235LKSDC4170S,KINGCHEM LABORATORIES INC.,325199,issues,issues,issues,issues,issues,issues,110057462865.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4268,9022WCHMLN195SA,CHEMLINE CA INC,325211,issues,issues,issues,issues,issues,CHEMLINE INC,110070049086.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4311,7735WLQDMN37FM2,LIQUID MINERALS GROUP NEW WAVERLY PLANT,325180,issues,issues,issues,issues,issues,PILOT CHEMICAL CORP,110034855574.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4365,00851HSSLVLIMET,LIMETREE BAY REFINING LLC & LIMETREE BAY TERMINALS LLC,324110,issues,issues,issues,issues,issues,issues,110000307864.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4533,7807WVLRNR31WLE,VALERO ENERGY PARTNERS THREE  RIVERS,324110,issues,issues,issues,issues,issues,VALERO ENERGY PARTNERS LP,110000464462.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4546,6041WDVRSF24338,DIVERSIFIED CPC INTERNATIONAL INC,325120,issues,issues,issues,issues,issues,SUMITOMO CORP OF AMERICAS,110000578214.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4563,28001PRFRM1700W,PREFORMED LINE PRODUCTS,325211,issues,issues,issues,issues,issues,PREFORMED LINE PRODUCTS CO,110000496598.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4575,1807WMTHSN141ST,MATHESON TRI-GAS INC-PALM,325120,issues,issues,issues,issues,issues,TAIYO NIPPON SANSO USA INC,110043569466.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4596,8023WFSTRV391JL,COLORADO SALT PRODUCTS LLC,325180,issues,issues,issues,issues,issues,COLORADO SALT PRODUCTS LLC,110059361505.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4599,18042PLYTK55HIL,POLYTEK DEVELOPMENT CORP,325211,325212.0,issues,issues,issues,issues,POLYTEK DEVELOPMENT CORP,110000334816.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4651,7750WRLQDL11777,AIR LIQUIDE LARGE INDUSTRIES US LP - SMR UNIT,325120,issues,issues,issues,issues,issues,AMERICAN AIR LIQUIDE HOLDINGS INC,110046424598.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4669,79922GLBLL35DNI,GLOBAL ALTERNATIVE FUELS LLC,325199,issues,issues,issues,issues,issues,issues,110040366788.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4737,42501THSMR501RE,CONTINENTAL REFINING CO LLC,324110,issues,issues,issues,issues,issues,CONTINENTAL REFINING CO LLC,110000381113.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4749,1632WMSTBL24TWM,AM STABILIZERS CORP,325199,issues,issues,issues,issues,issues,AMFINE CHEMICAL CORP,110070056822.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
